POLICY,,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,
,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,
iTrek,Pioneer,43,Days,43,Days,0,65,237.50,451.25,451.25,193.60,367.84,367.84,135.30,257.07,257.07
iTrek,Pioneer,44,Days,44,Days,0,65,241.30,458.47,458.47,197.40,375.06,375.06,137.40,261.06,261.06
iTrek,Pioneer,45,Days,45,Days,0,65,245.10,465.69,465.69,201.20,382.28,382.28,139.40,264.86,264.86
iTrek,Pioneer,46,Days,46,Days,0,65,252.70,480.13,480.13,204.90,389.31,389.31,141.40,268.66,268.66
iTrek,Pioneer,47,Days,47,Days,0,65,256.50,487.35,487.35,207.70,394.63,394.63,143.40,272.46,272.46
iTrek,Pioneer,48,Days,48,Days,0,65,260.30,494.57,494.57,210.60,400.14,400.14,145.40,276.26,276.26
iTrek,Pioneer,49,Days,49,Days,0,65,264.10,501.79,501.79,213.40,405.46,405.46,147.50,280.25,280.25
iTrek,Pioneer,50,Days,62,Days,0,65,271.78,516.38,516.38,231.12,439.13,439.13,149.00,283.10,283.10
iTrek,Pioneer,63,Days,92,Days,0,65,320.26,608.49,608.49,276.75,525.83,525.83,212.93,404.57,404.57
iTrek,Pioneer,93,Days,123,Days,0,65,385.26,731.99,731.99,331.06,629.01,629.01,243.96,463.52,463.52
iTrek,Pioneer,124,Days,153,Days,0,65,479.36,910.78,910.78,362.35,688.47,688.47,283.55,538.75,538.75
iTrek,Pioneer,154,Days,184,Days,0,65,524.30,996.17,996.17,405.72,770.87,770.87,318.86,605.83,605.83
iTrek,Pioneer,185,Days,215,Days,0,65,624.22,1186.02,1186.02,461.06,876.01,876.01,367.01,697.32,697.32
iTrek,Pioneer,216,Days,245,Days,0,65,665.66,1264.75,1264.75,494.67,939.87,939.87,405.53,770.51,770.51
iTrek,Pioneer,246,Days,276,Days,0,65,695.94,1322.29,1322.29,580.03,1102.06,1102.06,444.05,843.70,843.70
iTrek,Pioneer,277,Days,306,Days,0,65,737.38,1401.02,1401.02,613.64,1165.92,1165.92,481.50,914.85,914.85
iTrek,Pioneer,307,Days,337,Days,0,65,794.07,1508.73,1508.73,657.44,1249.14,1249.14,521.09,990.07,990.07
iTrek,Pioneer,338,Days,366,Days,0,65,838.79,1593.70,1593.70,720.71,1369.35,1369.35,552.12,1049.03,1049.03
iTrek,Pioneer,366,Days,397,Days,0,65,925.01,1757.52,1757.52,800.35,1520.67,1520.67,,,
iTrek,Pioneer,398,Days,428,Days,0,65,1053.93,2002.47,2002.47,855.96,1626.32,1626.32,,,
iTrek,Pioneer,428,Days,458,Days,0,65,1138.90,2163.91,2163.91,952.74,1810.21,1810.21,,,
iTrek,Pioneer,458,Days,489,Days,0,65,1312.60,2493.94,2493.94,1049.81,1994.64,1994.64,,,
iTrek,Pioneer,489,Days,519,Days,0,65,1377.11,2616.51,2616.51,1145.91,2177.23,2177.23,,,
iTrek,Pioneer,520,Days,551,Days,0,65,1481.13,2814.15,2814.15,1248.48,2372.11,2372.11,,,
iTrek,Adventurer,1,Days,1,Days,0,65,57.80,109.82,109.82,50.50,95.95,95.95,37.90,72.01,72.01
iTrek,Adventurer,2,Days,2,Days,0,65,57.80,109.82,109.82,50.50,95.95,95.95,37.90,72.01,72.01
iTrek,Adventurer,3,Days,3,Days,0,65,57.80,109.82,109.82,50.50,95.95,95.95,37.90,72.01,72.01
iTrek,Adventurer,4,Days,4,Days,0,65,61.90,117.61,117.61,52.20,99.18,99.18,39.20,74.48,74.48
iTrek,Adventurer,5,Days,5,Days,0,65,66.00,125.40,125.40,53.80,102.22,102.22,40.90,77.71,77.71
iTrek,Adventurer,6,Days,6,Days,0,65,71.00,134.90,134.90,56.20,106.78,106.78,42.70,81.13,81.13
iTrek,Adventurer,7,Days,7,Days,0,65,72.60,137.94,137.94,58.70,111.53,111.53,43.60,82.84,82.84
iTrek,Adventurer,8,Days,8,Days,0,65,74.60,141.74,141.74,61.90,117.61,117.61,45.40,86.26,86.26
iTrek,Adventurer,9,Days,9,Days,0,65,77.60,147.44,147.44,64.40,122.36,122.36,46.30,87.97,87.97
iTrek,Adventurer,10,Days,10,Days,0,65,79.20,150.48,150.48,66.80,126.92,126.92,48.10,91.39,91.39
iTrek,Adventurer,11,Days,11,Days,0,65,82.50,156.75,156.75,69.30,131.67,131.67,49.00,93.10,93.10
iTrek,Adventurer,12,Days,12,Days,0,65,85.80,163.02,163.02,71.70,136.23,136.23,49.80,94.62,94.62
iTrek,Adventurer,13,Days,13,Days,0,65,87.50,166.25,166.25,74.20,140.98,140.98,51.60,98.04,98.04
iTrek,Adventurer,14,Days,14,Days,0,65,91.60,174.04,174.04,76.60,145.54,145.54,53.40,101.46,101.46
iTrek,Adventurer,15,Days,15,Days,0,65,97.40,185.06,185.06,79.90,151.81,151.81,58.70,111.53,111.53
iTrek,Adventurer,16,Days,16,Days,0,65,99.00,188.10,188.10,83.10,157.89,157.89,59.60,113.24,113.24
iTrek,Adventurer,17,Days,17,Days,0,65,100.70,191.33,191.33,86.40,164.16,164.16,60.50,114.95,114.95
iTrek,Adventurer,18,Days,18,Days,0,65,105.60,200.64,200.64,89.70,170.43,170.43,61.40,116.66,116.66
iTrek,Adventurer,19,Days,19,Days,0,65,108.40,205.96,205.96,92.90,176.51,176.51,62.30,118.37,118.37
iTrek,Adventurer,20,Days,20,Days,0,65,110.60,210.14,210.14,94.50,179.55,179.55,64.10,121.79,121.79
iTrek,Adventurer,21,Days,21,Days,0,65,112.20,213.18,213.18,97.00,184.30,184.30,65.90,125.21,125.21
iTrek,Adventurer,22,Days,22,Days,0,65,122.10,231.99,231.99,101.10,192.09,192.09,73.30,139.27,139.27
iTrek,Adventurer,23,Days,23,Days,0,65,123.80,235.22,235.22,103.50,196.65,196.65,74.80,142.12,142.12
iTrek,Adventurer,24,Days,24,Days,0,65,127.10,241.49,241.49,106.00,201.40,201.40,74.80,142.12,142.12
iTrek,Adventurer,25,Days,25,Days,0,65,132.00,250.80,250.80,109.20,207.48,207.48,76.50,145.35,145.35
iTrek,Adventurer,26,Days,26,Days,0,65,137.00,260.30,260.30,112.50,213.75,213.75,77.40,147.06,147.06
iTrek,Adventurer,27,Days,27,Days,0,65,140.30,266.57,266.57,115.70,219.83,219.83,79.20,150.48,150.48
iTrek,Adventurer,28,Days,28,Days,0,65,142.70,271.13,271.13,119.00,226.10,226.10,83.70,159.03,159.03
iTrek,Adventurer,29,Days,29,Days,0,65,150.20,285.38,285.38,122.30,232.37,232.37,89.00,169.10,169.10
iTrek,Adventurer,30,Days,30,Days,0,65,151.80,288.42,288.42,125.50,238.45,238.45,89.90,170.81,170.81
iTrek,Adventurer,31,Days,31,Days,0,65,153.50,291.65,291.65,128.80,244.72,244.72,90.80,172.52,172.52
iTrek,Adventurer,32,Days,32,Days,0,65,156.30,296.97,296.97,132.00,250.80,250.80,91.70,174.23,174.23
iTrek,Adventurer,33,Days,33,Days,0,65,159.20,302.48,302.48,135.30,257.07,257.07,92.60,175.94,175.94
iTrek,Adventurer,34,Days,34,Days,0,65,161.70,307.23,307.23,138.40,262.96,262.96,96.10,182.59,182.59
iTrek,Adventurer,35,Days,35,Days,0,65,166.30,315.97,315.97,141.60,269.04,269.04,99.70,189.43,189.43
iTrek,Adventurer,36,Days,36,Days,0,65,181.50,344.85,344.85,147.50,280.25,280.25,103.20,196.08,196.08
iTrek,Adventurer,37,Days,37,Days,0,65,184.80,351.12,351.12,148.30,281.77,281.77,105.00,199.50,199.50
iTrek,Adventurer,38,Days,38,Days,0,65,188.10,357.39,357.39,151.40,287.66,287.66,106.80,202.92,202.92
iTrek,Adventurer,39,Days,39,Days,0,65,189.80,360.62,360.62,154.90,294.31,294.31,108.60,206.34,206.34
iTrek,Adventurer,40,Days,40,Days,0,65,191.40,363.66,363.66,158.10,300.39,300.39,110.40,209.76,209.76
iTrek,Adventurer,41,Days,41,Days,0,65,194.70,369.93,369.93,161.40,306.66,306.66,112.10,212.99,212.99
iTrek,Adventurer,42,Days,42,Days,0,65,201.30,382.47,382.47,164.60,312.74,312.74,115.70,219.83,219.83
iTrek,Adventurer,43,Days,43,Days,0,65,206.30,391.97,391.97,167.90,319.01,319.01,119.30,226.67,226.67
iTrek,Adventurer,44,Days,44,Days,0,65,209.60,398.24,398.24,171.20,325.28,325.28,121.00,229.90,229.90
iTrek,Adventurer,45,Days,45,Days,0,65,212.90,404.51,404.51,174.40,331.36,331.36,122.80,233.32,233.32
iTrek,Adventurer,46,Days,46,Days,0,65,219.50,417.05,417.05,177.70,337.63,337.63,124.60,236.74,236.74
iTrek,Adventurer,47,Days,47,Days,0,65,222.80,423.32,423.32,180.10,342.19,342.19,126.40,240.16,240.16
iTrek,Adventurer,48,Days,48,Days,0,65,226.10,429.59,429.59,182.60,346.94,346.94,128.20,243.58,243.58
iTrek,Adventurer,49,Days,49,Days,0,65,229.40,435.86,435.86,185.00,351.50,351.50,129.90,246.81,246.81
iTrek,Adventurer,50,Days,62,Days,0,65,255.73,485.89,485.89,208.65,396.44,396.44,136.96,260.22,260.22
iTrek,Adventurer,63,Days,92,Days,0,65,300.90,571.71,571.71,254.85,484.22,484.22,211.86,402.53,402.53
iTrek,Adventurer,93,Days,123,Days,0,65,354.77,674.06,674.06,287.58,546.40,546.40,240.75,457.43,457.43
iTrek,Adventurer,124,Days,153,Days,0,65,414.13,786.85,786.85,319.75,607.53,607.53,282.48,536.71,536.71
iTrek,Adventurer,154,Days,184,Days,0,65,459.93,873.87,873.87,351.95,668.71,668.71,316.72,601.77,601.77
iTrek,Adventurer,185,Days,215,Days,0,65,518.95,986.01,986.01,417.66,793.55,793.55,363.80,691.22,691.22
iTrek,Adventurer,216,Days,245,Days,0,65,553.91,1052.43,1052.43,445.86,847.13,847.13,402.32,764.41,764.41
iTrek,Adventurer,246,Days,276,Days,0,65,626.72,1190.77,1190.77,494.77,940.06,940.06,439.77,835.56,835.56
iTrek,Adventurer,277,Days,306,Days,0,65,656.69,1247.71,1247.71,528.07,1003.33,1003.33,477.22,906.72,906.72
iTrek,Adventurer,307,Days,337,Days,0,65,702.90,1335.51,1335.51,576.47,1095.29,1095.29,516.81,981.94,981.94
iTrek,Adventurer,338,Days,366,Days,0,65,758.45,1441.06,1441.06,619.54,1177.13,1177.13,547.84,1040.90,1040.90
iTrek,Adventurer,366,Days,397,Days,0,65,843.29,1602.25,1602.25,729.15,1385.39,1385.39,,,
iTrek,Adventurer,398,Days,428,Days,0,65,955.46,1815.37,1815.37,779.16,1480.40,1480.40,,,
iTrek,Adventurer,428,Days,458,Days,0,65,1057.98,2010.16,2010.16,844.26,1604.09,1604.09,,,
iTrek,Adventurer,458,Days,489,Days,0,65,1148.70,2182.53,2182.53,945.83,1797.08,1797.08,,,
iTrek,Adventurer,489,Days,519,Days,0,65,1239.42,2354.90,2354.90,1047.40,1990.06,1990.06,,,
iTrek,Adventurer,520,Days,551,Days,0,65,1342.79,2551.30,2551.30,1139.27,2164.61,2164.61,,,
iTrek,Trekker,1,Days,1,Days,0,65,45.50,86.45,86.45,40.30,76.57,76.57,28.80,54.72,54.72
iTrek,Trekker,2,Days,2,Days,0,65,45.50,86.45,86.45,40.30,76.57,76.57,28.80,54.72,54.72
iTrek,Trekker,3,Days,3,Days,0,65,45.50,86.45,86.45,40.30,76.57,76.57,28.80,54.72,54.72
iTrek,Trekker,4,Days,4,Days,0,65,48.80,92.72,92.72,41.60,79.04,79.04,29.70,56.43,56.43
iTrek,Trekker,5,Days,5,Days,0,65,52.00,98.80,98.80,42.90,81.51,81.51,31.10,59.09,59.09
iTrek,Trekker,6,Days,6,Days,0,65,55.90,106.21,106.21,44.90,85.31,85.31,32.40,61.56,61.56
iTrek,Trekker,7,Days,7,Days,0,65,57.20,108.68,108.68,46.80,88.92,88.92,33.10,62.89,62.89
iTrek,Trekker,8,Days,8,Days,0,65,58.80,111.72,111.72,49.40,93.86,93.86,34.40,65.36,65.36
iTrek,Trekker,9,Days,9,Days,0,65,61.10,116.09,116.09,51.40,97.66,97.66,35.10,66.69,66.69
iTrek,Trekker,10,Days,10,Days,0,65,62.40,118.56,118.56,53.30,101.27,101.27,36.50,69.35,69.35
iTrek,Trekker,11,Days,11,Days,0,65,65.00,123.50,123.50,55.30,105.07,105.07,37.10,70.49,70.49
iTrek,Trekker,12,Days,12,Days,0,65,67.60,128.44,128.44,57.20,108.68,108.68,37.80,71.82,71.82
iTrek,Trekker,13,Days,13,Days,0,65,68.90,130.91,130.91,59.20,112.48,112.48,39.20,74.48,74.48
iTrek,Trekker,14,Days,14,Days,0,65,72.20,137.18,137.18,61.10,116.09,116.09,40.50,76.95,76.95
iTrek,Trekker,15,Days,15,Days,0,65,76.70,145.73,145.73,63.70,121.03,121.03,44.60,84.74,84.74
iTrek,Trekker,16,Days,16,Days,0,65,78.00,148.20,148.20,66.30,125.97,125.97,45.20,85.88,85.88
iTrek,Trekker,17,Days,17,Days,0,65,79.30,150.67,150.67,68.90,130.91,130.91,45.90,87.21,87.21
iTrek,Trekker,18,Days,18,Days,0,65,83.20,158.08,158.08,71.50,135.85,135.85,46.60,88.54,88.54
iTrek,Trekker,19,Days,19,Days,0,65,85.40,162.26,162.26,74.10,140.79,140.79,47.30,89.87,89.87
iTrek,Trekker,20,Days,20,Days,0,65,87.10,165.49,165.49,75.40,143.26,143.26,48.60,92.34,92.34
iTrek,Trekker,21,Days,21,Days,0,65,88.40,167.96,167.96,77.40,147.06,147.06,50.00,95.00,95.00
iTrek,Trekker,22,Days,22,Days,0,65,96.20,182.78,182.78,80.60,153.14,153.14,55.60,105.64,105.64
iTrek,Trekker,23,Days,23,Days,0,65,97.50,185.25,185.25,82.60,156.94,156.94,56.70,107.73,107.73
iTrek,Trekker,24,Days,24,Days,0,65,100.10,190.19,190.19,84.50,160.55,160.55,56.70,107.73,107.73
iTrek,Trekker,25,Days,25,Days,0,65,104.00,197.60,197.60,87.10,165.49,165.49,58.10,110.39,110.39
iTrek,Trekker,26,Days,26,Days,0,65,107.90,205.01,205.01,89.70,170.43,170.43,58.70,111.53,111.53
iTrek,Trekker,27,Days,27,Days,0,65,110.50,209.95,209.95,92.30,175.37,175.37,60.10,114.19,114.19
iTrek,Trekker,28,Days,28,Days,0,65,112.50,213.75,213.75,94.90,180.31,180.31,63.50,120.65,120.65
iTrek,Trekker,29,Days,29,Days,0,65,118.30,224.77,224.77,97.50,185.25,185.25,67.50,128.25,128.25
iTrek,Trekker,30,Days,30,Days,0,65,119.60,227.24,227.24,100.10,190.19,190.19,68.20,129.58,129.58
iTrek,Trekker,31,Days,31,Days,0,65,120.90,229.71,229.71,102.70,195.13,195.13,68.90,130.91,130.91
iTrek,Trekker,32,Days,32,Days,0,65,123.10,233.89,233.89,105.30,200.07,200.07,69.50,132.05,132.05
iTrek,Trekker,33,Days,33,Days,0,65,125.50,238.45,238.45,107.90,205.01,205.01,70.20,133.38,133.38
iTrek,Trekker,34,Days,34,Days,0,65,127.40,242.06,242.06,110.40,209.76,209.76,72.90,138.51,138.51
iTrek,Trekker,35,Days,35,Days,0,65,131.00,248.90,248.90,113.00,214.70,214.70,75.60,143.64,143.64
iTrek,Trekker,36,Days,36,Days,0,65,143.00,271.70,271.70,117.70,223.63,223.63,78.30,148.77,148.77
iTrek,Trekker,37,Days,37,Days,0,65,145.60,276.64,276.64,118.30,224.77,224.77,79.70,151.43,151.43
iTrek,Trekker,38,Days,38,Days,0,65,148.20,281.58,281.58,120.80,229.52,229.52,81.00,153.90,153.90
iTrek,Trekker,39,Days,39,Days,0,65,149.50,284.05,284.05,123.50,234.65,234.65,82.40,156.56,156.56
iTrek,Trekker,40,Days,40,Days,0,65,150.80,286.52,286.52,126.10,239.59,239.59,83.70,159.03,159.03
iTrek,Trekker,41,Days,41,Days,0,65,153.40,291.46,291.46,128.70,244.53,244.53,85.10,161.69,161.69
iTrek,Trekker,42,Days,42,Days,0,65,158.60,301.34,301.34,131.30,249.47,249.47,87.80,166.82,166.82
iTrek,Trekker,43,Days,43,Days,0,65,162.50,308.75,308.75,133.90,254.41,254.41,90.50,171.95,171.95
iTrek,Trekker,44,Days,44,Days,0,65,165.10,313.69,313.69,136.50,259.35,259.35,91.80,174.42,174.42
iTrek,Trekker,45,Days,45,Days,0,65,167.70,318.63,318.63,139.10,264.29,264.29,93.20,177.08,177.08
iTrek,Trekker,46,Days,46,Days,0,65,172.90,328.51,328.51,141.70,269.23,269.23,94.50,179.55,179.55
iTrek,Trekker,47,Days,47,Days,0,65,175.50,333.45,333.45,143.70,273.03,273.03,95.90,182.21,182.21
iTrek,Trekker,48,Days,48,Days,0,65,178.10,338.39,338.39,145.60,276.64,276.64,97.20,184.68,184.68
iTrek,Trekker,49,Days,49,Days,0,65,180.70,343.33,343.33,147.60,280.44,280.44,98.60,187.34,187.34
iTrek,Trekker,50,Days,62,Days,0,65,199.02,378.14,378.14,161.57,306.98,306.98,103.79,197.20,197.20
iTrek,Trekker,63,Days,92,Days,0,65,261.19,496.26,496.26,211.86,402.53,402.53,160.50,304.95,304.95
iTrek,Trekker,93,Days,123,Days,0,65,301.89,573.59,573.59,238.85,453.82,453.82,184.04,349.68,349.68
iTrek,Trekker,124,Days,153,Days,0,65,334.91,636.33,636.33,272.63,518.00,518.00,214.00,406.60,406.60
iTrek,Trekker,154,Days,184,Days,0,65,367.01,697.32,697.32,313.51,595.67,595.67,240.75,457.43,457.43
iTrek,Trekker,185,Days,215,Days,0,65,437.57,831.38,831.38,330.86,628.63,628.63,278.20,528.58,528.58
iTrek,Trekker,216,Days,245,Days,0,65,470.61,894.16,894.16,363.36,690.38,690.38,304.95,579.41,579.41
iTrek,Trekker,246,Days,276,Days,0,65,511.31,971.49,971.49,417.53,793.31,793.31,334.91,636.33,636.33
iTrek,Trekker,277,Days,306,Days,0,65,552.56,1049.86,1049.86,438.96,834.02,834.02,362.73,689.19,689.19
iTrek,Trekker,307,Days,337,Days,0,65,602.79,1145.30,1145.30,482.73,917.19,917.19,393.76,748.14,748.14
iTrek,Trekker,338,Days,366,Days,0,65,625.79,1189.00,1189.00,514.23,977.04,977.04,416.23,790.84,790.84
iTrek,Trekker,366,Days,397,Days,0,65,752.15,1429.09,1429.09,622.80,1183.32,1183.32,,,
iTrek,Trekker,398,Days,428,Days,0,65,824.85,1567.22,1567.22,687.77,1306.76,1306.76,,,
iTrek,Trekker,428,Days,458,Days,0,65,979.96,1861.92,1861.92,731.68,1390.19,1390.19,,,
iTrek,Trekker,458,Days,489,Days,0,65,1017.27,1932.81,1932.81,827.04,1571.38,1571.38,,,
iTrek,Trekker,489,Days,519,Days,0,65,1122.52,2132.79,2132.79,912.40,1733.56,1733.56,,,
iTrek,Trekker,520,Days,551,Days,0,65,1121.00,2129.90,2129.90,977.97,1858.14,1858.14,,,
iTrek,Wanderer,1,Days,1,Days,0,65,35.00,66.50,66.50,31.00,58.90,58.90,21.30,40.47,40.47
iTrek,Wanderer,2,Days,2,Days,0,65,35.00,66.50,66.50,31.00,58.90,58.90,21.30,40.47,40.47
iTrek,Wanderer,3,Days,3,Days,0,65,35.00,66.50,66.50,31.00,58.90,58.90,21.30,40.47,40.47
iTrek,Wanderer,4,Days,4,Days,0,65,37.50,71.25,71.25,32.00,60.80,60.80,22.00,41.80,41.80
iTrek,Wanderer,5,Days,5,Days,0,65,40.00,76.00,76.00,33.00,62.70,62.70,23.00,43.70,43.70
iTrek,Wanderer,6,Days,6,Days,0,65,43.00,81.70,81.70,34.50,65.55,65.55,24.00,45.60,45.60
iTrek,Wanderer,7,Days,7,Days,0,65,44.00,83.60,83.60,36.00,68.40,68.40,24.50,46.55,46.55
iTrek,Wanderer,8,Days,8,Days,0,65,45.20,85.88,85.88,38.00,72.20,72.20,25.50,48.45,48.45
iTrek,Wanderer,9,Days,9,Days,0,65,47.00,89.30,89.30,39.50,75.05,75.05,26.00,49.40,49.40
iTrek,Wanderer,10,Days,10,Days,0,65,48.00,91.20,91.20,41.00,77.90,77.90,27.00,51.30,51.30
iTrek,Wanderer,11,Days,11,Days,0,65,50.00,95.00,95.00,42.50,80.75,80.75,27.50,52.25,52.25
iTrek,Wanderer,12,Days,12,Days,0,65,52.00,98.80,98.80,44.00,83.60,83.60,28.00,53.20,53.20
iTrek,Wanderer,13,Days,13,Days,0,65,53.00,100.70,100.70,45.50,86.45,86.45,29.00,55.10,55.10
iTrek,Wanderer,14,Days,14,Days,0,65,55.50,105.45,105.45,47.00,89.30,89.30,30.00,57.00,57.00
iTrek,Wanderer,15,Days,15,Days,0,65,59.00,112.10,112.10,49.00,93.10,93.10,33.00,62.70,62.70
iTrek,Wanderer,16,Days,16,Days,0,65,60.00,114.00,114.00,51.00,96.90,96.90,33.50,63.65,63.65
iTrek,Wanderer,17,Days,17,Days,0,65,61.00,115.90,115.90,53.00,100.70,100.70,34.00,64.60,64.60
iTrek,Wanderer,18,Days,18,Days,0,65,64.00,121.60,121.60,55.00,104.50,104.50,34.50,65.55,65.55
iTrek,Wanderer,19,Days,19,Days,0,65,65.70,124.83,124.83,57.00,108.30,108.30,35.00,66.50,66.50
iTrek,Wanderer,20,Days,20,Days,0,65,67.00,127.30,127.30,58.00,110.20,110.20,36.00,68.40,68.40
iTrek,Wanderer,21,Days,21,Days,0,65,68.00,129.20,129.20,59.50,113.05,113.05,37.00,70.30,70.30
iTrek,Wanderer,22,Days,22,Days,0,65,74.00,140.60,140.60,62.00,117.80,117.80,41.20,78.28,78.28
iTrek,Wanderer,23,Days,23,Days,0,65,75.00,142.50,142.50,63.50,120.65,120.65,42.00,79.80,79.80
iTrek,Wanderer,24,Days,24,Days,0,65,77.00,146.30,146.30,65.00,123.50,123.50,42.00,79.80,79.80
iTrek,Wanderer,25,Days,25,Days,0,65,80.00,152.00,152.00,67.00,127.30,127.30,43.00,81.70,81.70
iTrek,Wanderer,26,Days,26,Days,0,65,83.00,157.70,157.70,69.00,131.10,131.10,43.50,82.65,82.65
