POLICY,,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,,,REGION 6,
Real Insurance,Real Travel Insurance Basic,12,days,12,days,18,49,85.84,171.68,171.68,72.82,145.64,145.64,61.57,123.14,123.14,53.65,107.3,107.3,44.72,89.44,89.44,48.35,96.7,96.7
Real Insurance,Real Travel Insurance Basic,13,days,13,days,18,49,89.42,178.84,178.84,76.01,152.01,152.01,64.01,128.02,128.02,55.42,110.84,110.84,45.6,91.21,91.21,49.3,98.6,98.6
Real Insurance,Real Travel Insurance Basic,14,days,14,days,18,49,92.09,184.18,184.18,77.6,155.21,155.21,67.3,134.59,134.59,56.32,112.65,112.65,47.38,94.76,94.76,51.24,102.48,102.48
Real Insurance,Real Travel Insurance Basic,15,days,15,days,18,49,93.88,187.76,187.76,80.01,160.03,160.03,68.11,136.22,136.22,58.12,116.24,116.24,55.42,110.84,110.84,59.93,119.86,119.86
Real Insurance,Real Travel Insurance Basic,16,days,16,days,18,49,97.46,194.91,194.91,82.5,164.99,164.99,70.66,141.32,141.32,59.02,118.03,118.03,56.32,112.65,112.65,61.02,122.03,122.03
Real Insurance,Real Travel Insurance Basic,17,days,17,days,18,49,114.45,228.89,228.89,84.91,169.82,169.82,72.29,144.58,144.58,61.7,123.4,123.4,58.12,116.24,116.24,62.97,125.94,125.94
Real Insurance,Real Travel Insurance Basic,18,days,18,days,18,49,117.13,234.26,234.26,86.51,173.01,173.01,74.75,149.5,149.5,63.5,126.99,126.99,59.02,118.03,118.03,63.93,127.85,127.85
Real Insurance,Real Travel Insurance Basic,19,days,19,days,18,49,119.81,239.62,239.62,88.9,177.79,177.79,75.58,151.17,151.17,64.36,128.72,128.72,60.79,121.59,121.59,65.87,131.73,131.73
Real Insurance,Real Travel Insurance Basic,20,days,20,days,18,49,123.39,246.78,246.78,91.32,182.64,182.64,78.05,156.09,156.09,66.16,132.32,132.32,61.7,123.4,123.4,66.85,133.69,133.69
Real Insurance,Real Travel Insurance Basic,21,days,21,days,18,49,126.95,253.91,253.91,93.72,187.44,187.44,79.68,159.37,159.37,67.06,134.13,134.13,63.5,126.99,126.99,68.77,137.55,137.55
Real Insurance,Real Travel Insurance Basic,22,days,22,days,18,49,129.65,259.29,259.29,96.11,192.22,192.22,82.14,164.29,164.29,68.83,137.66,137.66,64.36,128.72,128.72,69.72,139.44,139.44
Real Insurance,Real Travel Insurance Basic,23,days,23,days,18,49,133.22,266.45,266.45,98.51,197.02,197.02,83.8,167.6,167.6,69.74,139.47,139.47,66.16,132.32,132.32,71.67,143.34,143.34
Real Insurance,Real Travel Insurance Basic,24,days,24,days,18,49,135.9,271.79,271.79,100.92,201.85,201.85,86.25,172.51,172.51,71.53,143.07,143.07,67.06,134.13,134.13,72.65,145.31,145.31
Real Insurance,Real Travel Insurance Basic,25,days,25,days,18,49,138.6,277.2,277.2,103.32,206.65,206.65,87.09,174.18,174.18,73.3,146.61,146.61,69.74,139.47,139.47,75.55,151.1,151.1
Real Insurance,Real Travel Insurance Basic,26,days,26,days,18,49,141.26,282.52,282.52,105.74,211.47,211.47,89.53,179.06,179.06,74.2,148.39,148.39,71.53,143.07,143.07,77.49,154.98,154.98
Real Insurance,Real Travel Insurance Basic,27,days,27,days,18,49,145.73,291.46,291.46,108.12,216.23,216.23,91.19,182.37,182.37,76,151.99,151.99,73.3,146.61,146.61,79.42,158.83,158.83
Real Insurance,Real Travel Insurance Basic,28,days,28,days,18,49,150.2,300.41,300.41,110.53,221.06,221.06,93.65,187.3,187.3,76.9,153.8,153.8,74.2,148.39,148.39,80.39,160.77,160.77
Real Insurance,Real Travel Insurance Basic,29,days,29,days,18,49,153.78,307.56,307.56,114.54,229.07,229.07,96.11,192.22,192.22,79.57,159.15,159.15,76.9,153.8,153.8,83.31,166.61,166.61
Real Insurance,Real Travel Insurance Basic,30,days,30,days,18,49,158.25,316.5,316.5,116.94,233.88,233.88,98.57,197.14,197.14,81.36,162.72,162.72,78.68,157.36,157.36,85.23,170.47,170.47
Real Insurance,Real Travel Insurance Basic,31,days,31,days,18,49,162.72,325.44,325.44,120.96,241.91,241.91,101.05,202.11,202.11,84.04,168.09,168.09,79.57,159.15,159.15,86.19,172.38,172.38
Real Insurance,Real Travel Insurance Basic,32,days,32,days,18,49,166.32,332.64,332.64,123.34,246.68,246.68,103.49,206.99,206.99,84.94,169.88,169.88,82.27,164.53,164.53,89.11,178.23,178.23
Real Insurance,Real Travel Insurance Basic,33,days,33,days,18,49,170.78,341.56,341.56,125.74,251.48,251.48,105.98,211.95,211.95,87.62,175.24,175.24,84.04,168.09,168.09,91.04,182.08,182.08
Real Insurance,Real Travel Insurance Basic,34,days,34,days,18,49,174.36,348.71,348.71,129.76,259.52,259.52,108.44,216.88,216.88,89.42,178.84,178.84,84.94,169.88,169.88,92.01,184.02,184.02
Real Insurance,Real Travel Insurance Basic,35,days,41,days,18,49,207.43,414.86,414.86,161.79,323.58,323.58,136.37,272.74,272.74,117.13,234.26,234.26,112.66,225.32,225.32,122.03,244.07,244.07
Real Insurance,Real Travel Insurance Basic,42,days,48,days,18,49,228,456,456,176.21,352.41,352.41,154.43,308.87,308.87,127.86,255.72,255.72,125.18,250.35,250.35,135.61,271.22,271.22
Real Insurance,Real Travel Insurance Basic,49,days,55,days,18,49,261.07,522.15,522.15,194.62,389.24,389.24,165.94,331.87,331.87,141.26,282.52,282.52,135.9,271.79,271.79,147.22,294.44,294.44
Real Insurance,Real Travel Insurance Basic,56,days,62,days,18,49,275.38,550.76,550.76,205.85,411.71,411.71,180.74,361.47,361.47,156.47,312.95,312.95,151.1,302.2,302.2,163.69,327.39,327.39
Real Insurance,Real Travel Insurance Basic,63,days,69,days,18,49,301.31,602.62,602.62,224.26,448.52,448.52,197.15,394.31,394.31,166.32,332.64,332.64,158.25,316.5,316.5,171.44,342.88,342.88
Real Insurance,Real Travel Insurance Basic,70,days,76,days,18,49,331.71,663.43,663.43,231.47,462.95,462.95,217.7,435.4,435.4,183.29,366.58,366.58,176.13,352.27,352.27,190.81,381.62,381.62
Real Insurance,Real Travel Insurance Basic,77,days,83,days,18,49,337.07,674.14,674.14,236.3,472.59,472.59,222.63,445.27,445.27,196.71,393.42,393.42,188.66,377.33,377.33,204.37,408.74,408.74
Real Insurance,Real Travel Insurance Basic,84,days,90,days,18,49,339.75,679.5,679.5,238.68,477.36,477.36,225.08,450.17,450.17,203.85,407.71,407.71,194.02,388.04,388.04,210.19,420.38,420.38
Real Insurance,Real Travel Insurance Basic,91,days,119,days,18,49,409.5,819,819,288.34,576.68,576.68,271.92,543.85,543.85,230.67,461.34,461.34,221.74,443.48,443.48,240.21,480.43,480.43
Real Insurance,Real Travel Insurance Basic,120,days,149,days,18,49,477.45,954.89,954.89,334.8,669.6,669.6,312.16,624.32,624.32,268.22,536.43,536.43,257.51,515.01,515.01,278.95,557.9,557.9
Real Insurance,Real Travel Insurance Basic,150,days,179,days,18,49,548.96,1097.92,1097.92,384.45,768.9,768.9,358.99,717.98,717.98,296.83,593.66,593.66,295.95,591.89,591.89,320.61,641.22,641.22
Real Insurance,Real Travel Insurance Basic,180,days,186,days,18,49,623.2,1246.4,1246.4,437.33,874.66,874.66,410.75,821.51,821.51,353.18,706.37,706.37,337.07,674.14,674.14,365.14,730.29,730.29
Real Insurance,Real Travel Insurance Basic,186,days,209,days,18,49,623.2,1246.4,1246.4,437.33,874.66,874.66,410.75,821.51,821.51,353.18,706.37,706.37,337.07,674.14,674.14,365.14,730.29,730.29
Real Insurance,Real Travel Insurance Basic,210,days,239,days,18,49,686.66,1373.31,1373.31,480.58,961.16,961.16,451,902,902,388.92,777.84,777.84,372.84,745.67,745.67,403.88,807.77,807.77
Real Insurance,Real Travel Insurance Basic,240,days,269,days,18,49,755.5,1511,1511,528.63,1057.25,1057.25,495.36,990.72,990.72,429.17,858.34,858.34,406.8,813.61,813.61,440.69,881.39,881.39
Real Insurance,Real Travel Insurance Basic,270,days,299,days,18,49,819.89,1639.78,1639.78,574.28,1148.56,1148.56,532.33,1064.67,1064.67,462.25,924.51,924.51,439.89,879.78,879.78,476.52,953.05,953.05
Real Insurance,Real Travel Insurance Basic,300,days,329,days,18,49,883.37,1766.73,1766.73,618.34,1236.67,1236.67,573.4,1146.79,1146.79,500.68,1001.37,1001.37,477.45,954.89,954.89,517.21,1034.43,1034.43
Real Insurance,Real Travel Insurance Basic,330,days,366,days,18,49,932.53,1865.05,1865.05,655.18,1310.36,1310.36,605.44,1210.87,1210.87,529.31,1058.62,1058.62,506.06,1012.12,1012.12,548.2,1096.39,1096.39
Real Insurance,Real Travel Insurance Basic,1,days,2,days,50,59,30.63,61.27,61.27,25.6,51.2,51.2,22.99,45.98,45.98,22.76,45.51,45.51,21.35,42.7,42.7,25.13,50.26,50.26
Real Insurance,Real Travel Insurance Basic,3,days,3,days,50,59,42.01,84.01,84.01,33.61,67.21,67.21,30.37,60.74,60.74,30.63,61.27,61.27,28.73,57.47,57.47,33.82,67.64,67.64
Real Insurance,Real Travel Insurance Basic,4,days,4,days,50,59,52.51,105.01,105.01,41.59,83.19,83.19,37.74,75.47,75.47,39.37,78.75,78.75,31.21,62.41,62.41,36.75,73.5,73.5
Real Insurance,Real Travel Insurance Basic,5,days,5,days,50,59,60.39,120.79,120.79,49.61,99.22,99.22,42.66,85.32,85.32,42.01,84.01,84.01,32.03,64.06,64.06,37.71,75.42,75.42
Real Insurance,Real Travel Insurance Basic,6,days,6,days,50,59,68.26,136.52,136.52,55.22,110.44,110.44,49.24,98.48,98.48,44.64,89.28,89.28,34.47,68.94,68.94,40.6,81.19,81.19
Real Insurance,Real Travel Insurance Basic,7,days,7,days,50,59,72.63,145.26,145.26,57.61,115.22,115.22,50.88,101.76,101.76,45.5,91.01,91.01,35.31,70.61,70.61,41.56,83.13,83.13
Real Insurance,Real Travel Insurance Basic,8,days,8,days,50,59,68.26,136.52,136.52,61.62,123.24,123.24,53.35,106.7,106.7,47.26,94.52,94.52,39.18,78.37,78.37,43.49,86.98,86.98
Real Insurance,Real Travel Insurance Basic,9,days,9,days,50,59,71.77,143.53,143.53,64.01,128.02,128.02,55.8,111.6,111.6,48.14,96.27,96.27,40.05,80.1,80.1,44.45,88.9,88.9
Real Insurance,Real Travel Insurance Basic,10,days,10,days,50,59,75.26,150.52,150.52,66.41,132.82,132.82,58.27,116.55,116.55,49.88,99.77,99.77,40.93,81.86,81.86,45.42,90.84,90.84
Real Insurance,Real Travel Insurance Basic,11,days,11,days,50,59,81.36,162.72,162.72,70.41,140.82,140.82,60.72,121.45,121.45,51.85,103.71,103.71,43.82,87.63,87.63,47.37,94.74,94.74
Real Insurance,Real Travel Insurance Basic,12,days,12,days,50,59,85.84,171.68,171.68,72.82,145.64,145.64,61.57,123.14,123.14,53.65,107.3,107.3,44.72,89.44,89.44,48.35,96.7,96.7
Real Insurance,Real Travel Insurance Basic,13,days,13,days,50,59,89.42,178.84,178.84,76.01,152.01,152.01,64.01,128.02,128.02,55.42,110.84,110.84,45.6,91.21,91.21,49.3,98.6,98.6
Real Insurance,Real Travel Insurance Basic,14,days,14,days,50,59,92.09,184.18,184.18,77.6,155.21,155.21,67.3,134.59,134.59,56.32,112.65,112.65,47.38,94.76,94.76,51.24,102.48,102.48
Real Insurance,Real Travel Insurance Basic,15,days,15,days,50,59,93.88,187.76,187.76,80.01,160.03,160.03,68.11,136.22,136.22,58.12,116.24,116.24,55.42,110.84,110.84,59.93,119.86,119.86
Real Insurance,Real Travel Insurance Basic,16,days,16,days,50,59,97.46,194.91,194.91,82.5,164.99,164.99,70.66,141.32,141.32,59.02,118.03,118.03,56.32,112.65,112.65,61.02,122.03,122.03
Real Insurance,Real Travel Insurance Basic,17,days,17,days,50,59,114.45,228.89,228.89,84.91,169.82,169.82,72.29,144.58,144.58,61.7,123.4,123.4,58.12,116.24,116.24,62.97,125.94,125.94
Real Insurance,Real Travel Insurance Basic,18,days,18,days,50,59,117.13,234.26,234.26,86.51,173.01,173.01,74.75,149.5,149.5,63.5,126.99,126.99,59.02,118.03,118.03,63.93,127.85,127.85
Real Insurance,Real Travel Insurance Basic,19,days,19,days,50,59,119.81,239.62,239.62,88.9,177.79,177.79,75.58,151.17,151.17,64.36,128.72,128.72,60.79,121.59,121.59,65.87,131.73,131.73
Real Insurance,Real Travel Insurance Basic,20,days,20,days,50,59,123.39,246.78,246.78,91.32,182.64,182.64,78.05,156.09,156.09,66.16,132.32,132.32,61.7,123.4,123.4,66.85,133.69,133.69
Real Insurance,Real Travel Insurance Basic,21,days,21,days,50,59,126.95,253.91,253.91,93.72,187.44,187.44,79.68,159.37,159.37,67.06,134.13,134.13,63.5,126.99,126.99,68.77,137.55,137.55
Real Insurance,Real Travel Insurance Basic,22,days,22,days,50,59,129.65,259.29,259.29,96.11,192.22,192.22,82.14,164.29,164.29,68.83,137.66,137.66,64.36,128.72,128.72,69.72,139.44,139.44
Real Insurance,Real Travel Insurance Basic,23,days,23,days,50,59,133.22,266.45,266.45,98.51,197.02,197.02,83.8,167.6,167.6,69.74,139.47,139.47,66.16,132.32,132.32,71.67,143.34,143.34
Real Insurance,Real Travel Insurance Basic,24,days,24,days,50,59,135.9,271.79,271.79,100.92,201.85,201.85,86.25,172.51,172.51,71.53,143.07,143.07,67.06,134.13,134.13,72.65,145.31,145.31
Real Insurance,Real Travel Insurance Basic,25,days,25,days,50,59,138.6,277.2,277.2,103.32,206.65,206.65,87.09,174.18,174.18,73.3,146.61,146.61,69.74,139.47,139.47,75.55,151.1,151.1
Real Insurance,Real Travel Insurance Basic,26,days,26,days,50,59,141.26,282.52,282.52,105.74,211.47,211.47,89.53,179.06,179.06,74.2,148.39,148.39,71.53,143.07,143.07,77.49,154.98,154.98
Real Insurance,Real Travel Insurance Basic,27,days,27,days,50,59,145.73,291.46,291.46,108.12,216.23,216.23,91.19,182.37,182.37,76,151.99,151.99,73.3,146.61,146.61,79.42,158.83,158.83
Real Insurance,Real Travel Insurance Basic,28,days,28,days,50,59,150.2,300.41,300.41,110.53,221.06,221.06,93.65,187.3,187.3,76.9,153.8,153.8,74.2,148.39,148.39,80.39,160.77,160.77
Real Insurance,Real Travel Insurance Basic,29,days,29,days,50,59,153.78,307.56,307.56,114.54,229.07,229.07,96.11,192.22,192.22,79.57,159.15,159.15,76.9,153.8,153.8,83.31,166.61,166.61
Real Insurance,Real Travel Insurance Basic,30,days,30,days,50,59,158.25,316.5,316.5,116.94,233.88,233.88,98.57,197.14,197.14,81.36,162.72,162.72,78.68,157.36,157.36,85.23,170.47,170.47
Real Insurance,Real Travel Insurance Basic,31,days,31,days,50,59,162.72,325.44,325.44,120.96,241.91,241.91,101.05,202.11,202.11,84.04,168.09,168.09,79.57,159.15,159.15,86.19,172.38,172.38
Real Insurance,Real Travel Insurance Basic,32,days,32,days,50,59,166.32,332.64,332.64,123.34,246.68,246.68,103.49,206.99,206.99,84.94,169.88,169.88,82.27,164.53,164.53,89.11,178.23,178.23
Real Insurance,Real Travel Insurance Basic,33,days,33,days,50,59,170.78,341.56,341.56,125.74,251.48,251.48,105.98,211.95,211.95,87.62,175.24,175.24,84.04,168.09,168.09,91.04,182.08,182.08
Real Insurance,Real Travel Insurance Basic,34,days,34,days,50,59,174.36,348.71,348.71,129.76,259.52,259.52,108.44,216.88,216.88,89.42,178.84,178.84,84.94,169.88,169.88,92.01,184.02,184.02
Real Insurance,Real Travel Insurance Basic,35,days,41,days,50,59,207.43,414.86,414.86,161.79,323.58,323.58,136.37,272.74,272.74,117.13,234.26,234.26,112.66,225.32,225.32,122.03,244.07,244.07
Real Insurance,Real Travel Insurance Basic,42,days,48,days,50,59,228,456,456,176.21,352.41,352.41,154.43,308.87,308.87,127.86,255.72,255.72,125.18,250.35,250.35,135.61,271.22,271.22
Real Insurance,Real Travel Insurance Basic,49,days,55,days,50,59,261.07,522.15,522.15,194.62,389.24,389.24,165.94,331.87,331.87,141.26,282.52,282.52,135.9,271.79,271.79,147.22,294.44,294.44
Real Insurance,Real Travel Insurance Basic,56,days,62,days,50,59,275.38,550.76,550.76,205.85,411.71,411.71,180.74,361.47,361.47,156.47,312.95,312.95,151.1,302.2,302.2,163.69,327.39,327.39
Real Insurance,Real Travel Insurance Basic,63,days,69,days,50,59,301.31,602.62,602.62,224.26,448.52,448.52,197.15,394.31,394.31,166.32,332.64,332.64,158.25,316.5,316.5,171.44,342.88,342.88
Real Insurance,Real Travel Insurance Basic,70,days,76,days,50,59,331.71,663.43,663.43,231.47,462.95,462.95,217.7,435.4,435.4,183.29,366.58,366.58,176.13,352.27,352.27,190.81,381.62,381.62
Real Insurance,Real Travel Insurance Basic,77,days,83,days,50,59,337.07,674.14,674.14,236.3,472.59,472.59,222.63,445.27,445.27,196.71,393.42,393.42,188.66,377.33,377.33,204.37,408.74,408.74
Real Insurance,Real Travel Insurance Basic,84,days,90,days,50,59,339.75,679.5,679.5,238.68,477.36,477.36,225.08,450.17,450.17,203.85,407.71,407.71,194.02,388.04,388.04,210.19,420.38,420.38
Real Insurance,Real Travel Insurance Basic,91,days,119,days,50,59,409.5,819,819,288.34,576.68,576.68,271.92,543.85,543.85,230.67,461.34,461.34,221.74,443.48,443.48,240.21,480.43,480.43
Real Insurance,Real Travel Insurance Basic,120,days,149,days,50,59,477.45,954.89,954.89,334.8,669.6,669.6,312.16,624.32,624.32,268.22,536.43,536.43,257.51,515.01,515.01,278.95,557.9,557.9
Real Insurance,Real Travel Insurance Basic,150,days,179,days,50,59,548.96,1097.92,1097.92,384.45,768.9,768.9,358.99,717.98,717.98,296.83,593.66,593.66,295.95,591.89,591.89,320.61,641.22,641.22
Real Insurance,Real Travel Insurance Basic,180,days,186,days,50,59,623.2,1246.4,1246.4,437.33,874.66,874.66,410.75,821.51,821.51,353.18,706.37,706.37,337.07,674.14,674.14,365.14,730.29,730.29
Real Insurance,Real Travel Insurance Basic,186,days,209,days,50,59,623.2,1246.4,1246.4,437.33,874.66,874.66,410.75,821.51,821.51,353.18,706.37,706.37,337.07,674.14,674.14,365.14,730.29,730.29
Real Insurance,Real Travel Insurance Basic,210,days,239,days,50,59,686.66,1373.31,1373.31,480.58,961.16,961.16,451,902,902,388.92,777.84,777.84,372.84,745.67,745.67,403.88,807.77,807.77
Real Insurance,Real Travel Insurance Basic,240,days,269,days,50,59,755.5,1511,1511,528.63,1057.25,1057.25,495.36,990.72,990.72,429.17,858.34,858.34,406.8,813.61,813.61,440.69,881.39,881.39
Real Insurance,Real Travel Insurance Basic,270,days,299,days,50,59,819.89,1639.78,1639.78,574.28,1148.56,1148.56,532.33,1064.67,1064.67,462.25,924.51,924.51,439.89,879.78,879.78,476.52,953.05,953.05
Real Insurance,Real Travel Insurance Basic,300,days,329,days,50,59,883.37,1766.73,1766.73,618.34,1236.67,1236.67,573.4,1146.79,1146.79,500.68,1001.37,1001.37,477.45,954.89,954.89,517.21,1034.43,1034.43
Real Insurance,Real Travel Insurance Basic,330,days,366,days,50,59,932.53,1865.05,1865.05,655.18,1310.36,1310.36,605.44,1210.87,1210.87,529.31,1058.62,1058.62,506.06,1012.12,1012.12,548.2,1096.39,1096.39
Real Insurance,Real Travel Insurance Basic,1,days,2,days,60,69,35.22,70.45,70.45,29.45,58.9,58.9,26.42,52.85,52.85,26.16,52.33,52.33,24.54,49.09,49.09,28.9,57.8,57.8
Real Insurance,Real Travel Insurance Basic,3,days,3,days,60,69,48.32,96.63,96.63,38.64,77.28,77.28,34.91,69.83,69.83,35.22,70.45,70.45,33.04,66.09,66.09,38.9,77.81,77.81
Real Insurance,Real Travel Insurance Basic,4,days,4,days,60,69,60.39,120.79,120.79,47.85,95.71,95.71,43.4,86.81,86.81,45.29,90.58,90.58,35.88,71.76,71.76,42.25,84.5,84.5
Real Insurance,Real Travel Insurance Basic,5,days,5,days,60,69,69.46,138.91,138.91,57.05,114.09,114.09,49.08,98.16,98.16,48.32,96.63,96.63,36.83,73.66,73.66,43.35,86.7,86.7
Real Insurance,Real Travel Insurance Basic,6,days,6,days,60,69,78.51,157.02,157.02,63.49,126.97,126.97,56.63,113.25,113.25,51.33,102.66,102.66,39.67,79.33,79.33,46.7,93.39,93.39
Real Insurance,Real Travel Insurance Basic,7,days,7,days,60,69,83.54,167.08,167.08,66.26,132.52,132.52,58.51,117.03,117.03,52.34,104.67,104.67,40.6,81.2,81.2,47.81,95.62,95.62
Real Insurance,Real Travel Insurance Basic,8,days,8,days,60,69,78.51,157.02,157.02,70.86,141.72,141.72,61.35,122.69,122.69,54.33,108.67,108.67,45.06,90.12,90.12,50.02,100.04,100.04
Real Insurance,Real Travel Insurance Basic,9,days,9,days,60,69,82.54,165.07,165.07,73.6,147.21,147.21,64.18,128.36,128.36,55.36,110.72,110.72,46.06,92.11,92.11,51.13,102.26,102.26
Real Insurance,Real Travel Insurance Basic,10,days,10,days,60,69,86.56,173.11,173.11,76.37,152.74,152.74,67,134.01,134.01,57.37,114.74,114.74,47.06,94.12,94.12,52.24,104.49,104.49
Real Insurance,Real Travel Insurance Basic,11,days,11,days,60,69,93.58,187.16,187.16,80.98,161.96,161.96,69.84,139.67,139.67,59.63,119.26,119.26,50.38,100.75,100.75,54.45,108.91,108.91
Real Insurance,Real Travel Insurance Basic,12,days,12,days,60,69,98.71,197.42,197.42,83.73,167.46,167.46,70.78,141.56,141.56,61.7,123.4,123.4,51.4,102.8,102.8,55.57,111.13,111.13
Real Insurance,Real Travel Insurance Basic,13,days,13,days,60,69,102.82,205.64,205.64,87.41,174.82,174.82,73.6,147.21,147.21,63.75,127.5,127.5,52.45,104.89,104.89,56.69,113.38,113.38
Real Insurance,Real Travel Insurance Basic,14,days,14,days,60,69,105.9,211.79,211.79,89.26,178.52,178.52,77.39,154.78,154.78,64.78,129.57,129.57,54.5,108.99,108.99,58.92,117.85,117.85
Real Insurance,Real Travel Insurance Basic,15,days,15,days,60,69,107.97,215.93,215.93,92.02,184.04,184.04,78.33,156.65,156.65,66.84,133.69,133.69,63.75,127.5,127.5,68.93,137.86,137.86
Real Insurance,Real Travel Insurance Basic,16,days,16,days,60,69,112.07,224.15,224.15,94.87,189.75,189.75,81.24,162.48,162.48,67.86,135.72,135.72,64.78,129.57,129.57,70.18,140.36,140.36
Real Insurance,Real Travel Insurance Basic,17,days,17,days,60,69,131.61,263.21,263.21,97.65,195.29,195.29,83.14,166.28,166.28,70.96,141.92,141.92,66.84,133.69,133.69,72.4,144.81,144.81
Real Insurance,Real Travel Insurance Basic,18,days,18,days,60,69,134.69,269.38,269.38,99.48,198.95,198.95,85.98,171.97,171.97,72.99,145.98,145.98,67.86,135.72,135.72,73.5,147.01,147.01
Real Insurance,Real Travel Insurance Basic,19,days,19,days,60,69,137.78,275.55,275.55,102.23,204.46,204.46,86.92,173.83,173.83,74.03,148.05,148.05,69.92,139.83,139.83,75.74,151.48,151.48
Real Insurance,Real Travel Insurance Basic,20,days,20,days,60,69,141.87,283.75,283.75,105,210,210,89.75,179.5,179.5,76.1,152.19,152.19,70.96,141.92,141.92,76.86,153.73,153.73
Real Insurance,Real Travel Insurance Basic,21,days,21,days,60,69,146.01,292.03,292.03,107.76,215.53,215.53,91.63,183.26,183.26,77.11,154.22,154.22,72.99,145.98,145.98,79.09,158.17,158.17
Real Insurance,Real Travel Insurance Basic,22,days,22,days,60,69,149.09,298.18,298.18,110.53,221.06,221.06,94.47,188.94,188.94,79.17,158.34,158.34,74.03,148.05,148.05,80.19,160.37,160.37
Real Insurance,Real Travel Insurance Basic,23,days,23,days,60,69,153.21,306.41,306.41,113.29,226.58,226.58,96.35,192.7,192.7,80.21,160.41,160.41,76.1,152.19,152.19,82.42,164.84,164.84
Real Insurance,Real Travel Insurance Basic,24,days,24,days,60,69,156.28,312.56,312.56,116.07,232.15,232.15,99.2,198.41,198.41,82.27,164.53,164.53,77.11,154.22,154.22,83.54,167.09,167.09
Real Insurance,Real Travel Insurance Basic,25,days,25,days,60,69,159.38,318.75,318.75,118.82,237.63,237.63,100.15,200.3,200.3,84.32,168.65,168.65,80.21,160.41,160.41,86.87,173.73,173.73
Real Insurance,Real Travel Insurance Basic,26,days,26,days,60,69,162.46,324.92,324.92,121.58,243.16,243.16,102.97,205.94,205.94,85.35,170.7,170.7,82.27,164.53,164.53,89.11,178.23,178.23
Real Insurance,Real Travel Insurance Basic,27,days,27,days,60,69,167.59,335.19,335.19,124.34,248.68,248.68,104.87,209.74,209.74,87.39,174.78,174.78,84.32,168.65,168.65,91.35,182.7,182.7
Real Insurance,Real Travel Insurance Basic,28,days,28,days,60,69,172.75,345.5,345.5,127.13,254.25,254.25,107.69,215.39,215.39,88.42,176.85,176.85,85.35,170.7,170.7,92.46,184.92,184.92
