POLICY,,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE DAYS,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,,,REGION 6,,,REGION 7,,,REGION 7,
Easy Travel Insurance,Budget Comprehensive $150 Excess,123,Days,152,Days,65,69,763.1,1526.2,1526.2,528.45,1056.9,1056.9,473.85,947.7,947.7,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,153,Days,182,Days,65,69,876.85,1753.7,1753.7,633.1,1266.2,1266.2,567.45,1134.9,1134.9,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,183,Days,213,Days,65,69,1012.7,2025.4,2025.4,733.2,1466.4,1466.4,640.9,1281.8,1281.8,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,214,Days,243,Days,65,69,1125.15,2250.3,2250.3,815.75,1631.5,1631.5,700.7,1401.4,1401.4,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,244,Days,274,Days,65,69,1255.8,2511.6,2511.6,910.65,1821.3,1821.3,777.4,1554.8,1554.8,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,275,Days,304,Days,65,69,1363.7,2727.4,2727.4,950.95,1901.9,1901.9,832.65,1665.3,1665.3,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,305,Days,334,Days,65,69,1471.6,2943.2,2943.2,1028.3,2056.6,2056.6,906.1,1812.2,1812.2,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,335,Days,365,Days,65,69,1538.55,3077.1,3077.1,1072.5,2145,2145,960.7,1921.4,1921.4,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,1,Days,5,Days,70,74,,,,,,,85.8,171.6,171.6,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,6,Days,9,Days,70,74,,,,,,,107.9,215.8,215.8,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,10,Days,12,Days,70,74,,,,,,,123.5,247,247,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,13,Days,16,Days,70,74,,,,,,,146.25,292.5,292.5,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,17,Days,23,Days,70,74,,,,,,,174.85,349.7,349.7,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,24,Days,28,Days,70,74,,,,,,,193.7,387.4,387.4,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,29,Days,35,Days,70,74,,,,,,,243.75,487.5,487.5,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,36,Days,42,Days,70,74,,,,,,,286.65,573.3,573.3,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,43,Days,49,Days,70,74,,,,,,,351.65,703.3,703.3,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,50,Days,56,Days,70,74,,,,,,,371.15,742.3,742.3,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,57,Days,63,Days,70,74,,,,,,,392.6,785.2,785.2,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,64,Days,70,Days,70,74,,,,,,,407.55,815.1,815.1,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,71,Days,91,Days,70,74,,,,,,,508.3,1016.6,1016.6,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,92,Days,122,Days,70,74,,,,,,,607.1,1214.2,1214.2,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,123,Days,152,Days,70,74,,,,,,,695.5,1391,1391,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,153,Days,182,Days,70,74,,,,,,,833.3,1666.6,1666.6,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,183,Days,213,Days,70,74,,,,,,,940.55,1881.1,1881.1,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,214,Days,243,Days,70,74,,,,,,,1027.65,2055.3,2055.3,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,244,Days,274,Days,70,74,,,,,,,1139.45,2278.9,2278.9,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,275,Days,304,Days,70,74,,,,,,,1220.7,2441.4,2441.4,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,305,Days,334,Days,70,74,,,,,,,1327.3,2654.6,2654.6,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,335,Days,365,Days,70,74,,,,,,,1407.25,2814.5,2814.5,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,1,Days,5,Days,75,80,,,,,,,117.65,235.3,235.3,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,6,Days,9,Days,75,80,,,,,,,148.2,296.4,296.4,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,10,Days,12,Days,75,80,,,,,,,169.65,339.3,339.3,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,13,Days,16,Days,75,80,,,,,,,199.55,399.1,399.1,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,17,Days,23,Days,75,80,,,,,,,238.55,477.1,477.1,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,24,Days,28,Days,75,80,,,,,,,265.85,531.7,531.7,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,29,Days,35,Days,75,80,,,,,,,332.8,665.6,665.6,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,36,Days,42,Days,75,80,,,,,,,394.55,789.1,789.1,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,43,Days,49,Days,75,80,,,,,,,483.6,967.2,967.2,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,50,Days,56,Days,75,80,,,,,,,510.25,1020.5,1020.5,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,57,Days,63,Days,75,80,,,,,,,538.85,1077.7,1077.7,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,64,Days,70,Days,75,80,,,,,,,560.95,1121.9,1121.9,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,71,Days,91,Days,75,80,,,,,,,698.75,1397.5,1397.5,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,92,Days,122,Days,75,80,,,,,,,833.3,1666.6,1666.6,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,123,Days,152,Days,75,80,,,,,,,954.85,1909.7,1909.7,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,153,Days,182,Days,75,80,,,,,,,1143.35,2286.7,2286.7,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,183,Days,213,Days,75,80,,,,,,,1289.6,2579.2,2579.2,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,214,Days,243,Days,75,80,,,,,,,1409.2,2818.4,2818.4,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,244,Days,274,Days,75,80,,,,,,,1561.3,3122.6,3122.6,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,275,Days,304,Days,75,80,,,,,,,1673.1,3346.2,3346.2,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,305,Days,334,Days,75,80,,,,,,,1818.7,3637.4,3637.4,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,335,Days,365,Days,75,80,,,,,,,1929.2,3858.4,3858.4,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,1,Days,5,Days,0,64,123.05,246.1,246.1,104.85,209.7,209.7,104.85,209.7,209.7,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,6,Days,9,Days,0,64,150.35,300.7,300.7,125,250,250,117.2,234.4,234.4,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,10,Days,12,Days,0,64,163.35,326.7,326.7,138,276,276,125,250,250,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,13,Days,16,Days,0,64,192.6,385.2,385.2,149.05,298.1,298.1,136.7,273.4,273.4,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,17,Days,23,Days,0,64,219.9,439.8,439.8,163.35,326.7,326.7,151.65,303.3,303.3,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,24,Days,28,Days,0,64,245.25,490.5,490.5,182.2,364.4,364.4,162.05,324.1,324.1,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,29,Days,35,Days,0,64,276.45,552.9,552.9,215.35,430.7,430.7,188.05,376.1,376.1,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,36,Days,42,Days,0,64,325.2,650.4,650.4,234.2,468.4,468.4,214.7,429.4,429.4,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,43,Days,49,Days,0,64,351.85,703.7,703.7,323.25,646.5,646.5,241.35,482.7,482.7,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,50,Days,56,Days,0,64,394.1,788.2,788.2,348.6,697.2,697.2,248.5,497,497,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,57,Days,63,Days,0,64,412.3,824.6,824.6,364.85,729.7,729.7,256.3,512.6,512.6,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,64,Days,70,Days,0,64,443.5,887,887,386.3,772.6,772.6,263.45,526.9,526.9,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,71,Days,91,Days,0,64,495.5,991,991,412.95,825.9,825.9,279.05,558.1,558.1,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,92,Days,122,Days,0,64,584.55,1169.1,1169.1,472.75,945.5,945.5,335.6,671.2,671.2,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,123,Days,152,Days,0,64,670.35,1340.7,1340.7,541,1082,1082,371.35,742.7,742.7,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,153,Days,182,Days,0,64,758.75,1517.5,1517.5,613.8,1227.6,1227.6,468.85,937.7,937.7,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,183,Days,213,Days,0,64,853,1706,1706,688.55,1377.1,1377.1,524.1,1048.2,1048.2,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,214,Days,243,Days,0,64,940.1,1880.2,1880.2,757.45,1514.9,1514.9,575.45,1150.9,1150.9,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,244,Days,274,Days,0,64,1027.85,2055.7,2055.7,827,1654,1654,626.8,1253.6,1253.6,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,275,Days,304,Days,0,64,1115.6,2231.2,2231.2,895.9,1791.8,1791.8,678.15,1356.3,1356.3,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,305,Days,334,Days,0,64,1189.7,2379.4,2379.4,954.4,1908.8,1908.8,721.05,1442.1,1442.1,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,335,Days,365,Days,0,64,1257.3,2514.6,2514.6,1007.7,2015.4,2015.4,760.7,1521.4,1521.4,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,1,Days,5,Days,65,69,131.5,263,263,107.45,214.9,214.9,107.45,214.9,214.9,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,6,Days,9,Days,65,69,162.7,325.4,325.4,128.25,256.5,256.5,119.8,239.6,239.6,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,10,Days,12,Days,65,69,178.3,356.6,356.6,141.25,282.5,282.5,128.25,256.5,256.5,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,13,Days,16,Days,65,69,210.8,421.6,421.6,152.95,305.9,305.9,140.6,281.2,281.2,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,17,Days,23,Days,65,69,242,484,484,168.55,337.1,337.1,156.2,312.4,312.4,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,24,Days,28,Days,65,69,271.25,542.5,542.5,188.05,376.1,376.1,167.25,334.5,334.5,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,29,Days,35,Days,65,69,306.35,612.7,612.7,223.8,447.6,447.6,194.55,389.1,389.1,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,36,Days,42,Days,65,69,362.25,724.5,724.5,282.95,565.9,565.9,253.7,507.4,507.4,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,43,Days,49,Days,65,69,392.15,784.3,784.3,332.35,664.7,664.7,298.55,597.1,597.1,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,50,Days,56,Days,65,69,440.25,880.5,880.5,348.6,697.2,697.2,311.55,623.1,623.1,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,57,Days,63,Days,65,69,461.7,923.4,923.4,365.5,731,731,325.85,651.7,651.7,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,64,Days,70,Days,65,69,497.45,994.9,994.9,365.5,731,731,336.9,673.8,673.8,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,71,Days,91,Days,65,69,607.95,1215.9,1215.9,466.25,932.5,932.5,405.8,811.6,811.6,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,92,Days,122,Days,65,69,722.35,1444.7,1444.7,548.8,1097.6,1097.6,472.75,945.5,945.5,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,123,Days,152,Days,65,69,823.1,1646.2,1646.2,588.45,1176.9,1176.9,533.85,1067.7,1067.7,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,153,Days,182,Days,65,69,936.85,1873.7,1873.7,693.1,1386.2,1386.2,627.45,1254.9,1254.9,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,183,Days,213,Days,65,69,1072.7,2145.4,2145.4,793.2,1586.4,1586.4,700.9,1401.8,1401.8,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,214,Days,243,Days,65,69,1185.15,2370.3,2370.3,875.75,1751.5,1751.5,760.7,1521.4,1521.4,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,244,Days,274,Days,65,69,1315.8,2631.6,2631.6,970.65,1941.3,1941.3,837.4,1674.8,1674.8,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,275,Days,304,Days,65,69,1423.7,2847.4,2847.4,1010.95,2021.9,2021.9,892.65,1785.3,1785.3,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,305,Days,334,Days,65,69,1531.6,3063.2,3063.2,1088.3,2176.6,2176.6,966.1,1932.2,1932.2,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,335,Days,365,Days,65,69,1598.55,3197.1,3197.1,1132.5,2265,2265,1020.7,2041.4,2041.4,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,1,Days,5,Days,70,74,,,,,,,145.8,291.6,291.6,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,6,Days,9,Days,70,74,,,,,,,167.9,335.8,335.8,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,10,Days,12,Days,70,74,,,,,,,183.5,367,367,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,13,Days,16,Days,70,74,,,,,,,206.25,412.5,412.5,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,17,Days,23,Days,70,74,,,,,,,234.85,469.7,469.7,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,24,Days,28,Days,70,74,,,,,,,253.7,507.4,507.4,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,29,Days,35,Days,70,74,,,,,,,303.75,607.5,607.5,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,36,Days,42,Days,70,74,,,,,,,346.65,693.3,693.3,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,43,Days,49,Days,70,74,,,,,,,411.65,823.3,823.3,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,50,Days,56,Days,70,74,,,,,,,431.15,862.3,862.3,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,57,Days,63,Days,70,74,,,,,,,452.6,905.2,905.2,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,64,Days,70,Days,70,74,,,,,,,467.55,935.1,935.1,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,71,Days,91,Days,70,74,,,,,,,568.3,1136.6,1136.6,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,92,Days,122,Days,70,74,,,,,,,667.1,1334.2,1334.2,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,123,Days,152,Days,70,74,,,,,,,755.5,1511,1511,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,153,Days,182,Days,70,74,,,,,,,893.3,1786.6,1786.6,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,183,Days,213,Days,70,74,,,,,,,1000.55,2001.1,2001.1,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,214,Days,243,Days,70,74,,,,,,,1087.65,2175.3,2175.3,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,244,Days,274,Days,70,74,,,,,,,1199.45,2398.9,2398.9,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,275,Days,304,Days,70,74,,,,,,,1280.7,2561.4,2561.4,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,305,Days,334,Days,70,74,,,,,,,1387.3,2774.6,2774.6,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,335,Days,365,Days,70,74,,,,,,,1467.25,2934.5,2934.5,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,1,Days,5,Days,75,80,,,,,,,177.65,355.3,355.3,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,6,Days,9,Days,75,80,,,,,,,208.2,416.4,416.4,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,10,Days,12,Days,75,80,,,,,,,229.65,459.3,459.3,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,13,Days,16,Days,75,80,,,,,,,259.55,519.1,519.1,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,17,Days,23,Days,75,80,,,,,,,298.55,597.1,597.1,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $0 Excess,24,Days,28,Days,75,80,,,,,,,325.85,651.7,651.7,,,,,,,,,,,,,,,
